15	117	1
16	18	1
16	31	1
16	33	1
16	40	1
16	50	1
16	52	1
16	53	1
16	54	1
16	59	1
16	61	1
16	66	1
16	73	1
16	77	1
16	78	1
16	91	1
16	107	1
17	19	1
17	20	1
17	21	1
17	23	1
17	25	1
17	30	1
17	34	2
17	35	1
17	36	1
17	37	1
17	39	1
17	46	1
17	55	1
17	58	1
17	63	1
17	64	1
17	66	1
17	67	1
17	69	1
17	71	1
17	74	1
17	80	1
17	81	1
17	82	1
17	83	2
17	93	1
17	94	1
17	95	1
17	97	1
17	101	1
17	103	1
17	106	2
17	108	1
17	109	1
17	110	1
17	114	1
17	115	1
17	119	1
17	121	1
17	123	1
18	31	1
18	40	2
18	43	1
18	47	1
18	48	1
18	50	1
18	51	1
18	52	1
18	53	2
18	54	1
18	59	1
18	73	1
18	88	1
18	91	1
18	103	1
18	104	1
18	107	1
18	112	1
18	120	1
19	20	2
19	21	2
19	22	1
19	24	2
19	25	2
19	28	1
19	30	1
19	34	2
19	35	2
19	41	1
19	46	2
19	55	1
19	56	1
19	59	1
19	61	1
19	63	2
19	64	2
19	67	2
19	68	1
19	69	2
19	71	4
19	74	2
19	81	2
19	82	2
19	83	3
19	87	1
19	93	3
19	101	2
19	102	1
19	103	2
19	106	2
19	110	2
19	114	1
19	115	2
19	116	1
19	118	1
19	119	2
19	121	2
19	122	2
20	21	2
20	25	2
20	30	1
20	34	2
20	35	2
20	46	2
20	55	1
20	63	2
20	64	1
20	67	2
20	68	1
20	69	2
20	71	2
20	74	2
20	81	2
20	82	2
20	83	2
20	87	1
20	93	2
20	99	1
20	101	2
20	103	2
20	106	2
20	110	2
20	114	1
20	115	2
20	119	2
20	121	1
21	25	2
21	30	1
21	34	2
21	35	2
21	46	2
21	63	2
21	64	1
21	67	2
21	68	1
21	69	2
21	71	2
21	74	2
21	81	2
21	82	2
21	83	2
21	87	1
21	93	2
21	101	2
21	103	2
21	106	2
21	110	2
21	114	1
21	115	2
21	119	2
21	121	1
22	24	1
22	28	1
22	51	1
22	56	2
22	72	1
22	83	1
22	88	1
22	93	1
22	102	2
22	107	1
22	116	2
22	118	2
22	121	1
23	39	1
23	55	1
23	58	1
23	80	1
23	81	1
23	83	2
24	28	2
24	50	1
24	55	1
24	56	1
24	61	1
24	84	1
24	93	1
24	102	1
24	107	1
24	116	1
24	118	1
24	121	1
25	30	1
25	34	2
25	35	2
25	39	1
25	46	2
25	58	1
25	63	2
25	64	1
25	67	2
25	68	1
25	69	2
25	71	2
25	72	1
25	74	2
25	80	1
25	81	2
25	82	2
25	83	2
25	87	1
25	93	2
25	101	2
25	103	2
25	106	2
25	110	2
25	114	1
25	115	2
25	117	1
25	119	2
25	121	1
26	34	1
26	40	1
26	42	1
26	43	1
26	48	1
26	49	1
26	52	1
26	54	1
26	59	1
26	64	1
26	71	1
26	72	1
26	75	1
